Time,Airline,Destination,Flight Number,Aircraft Type,Wind,Runway,Circle Time
0.73,American Airlines,"Richmond International Airport; Richmond, United States",AA7241,CRJ,Southwest,4R,2.67
0.76,Delta Air Lines,"La Guardia Airport; New York, United States",DL1061,E75,Southwest,4R,3.33
0.82,American Airlines,"Philadelphia International Airport; Philadelphia, United States",AA7322,321,Southwest,4R,2.0
0.87,American Airlines,"Charlotte Douglas International Airport; Charlotte, United States",AA6046,319,Southwest,4R,2.0
0.89,Delta Air Lines,"London Heathrow Airport; London, United Kingdom",DL6323,764,Southwest,4R,2.67
0.93,Cape Air,"Adirondack Regional Airport; Saranac Lake, United States",9K901,CNA,Southwest,4L,2.0
0.91,KLM Royal Dutch Airlines,"London Heathrow Airport; London, United Kingdom",KL5545,767,Southwest,4R,3.33
0.98,Alaska Airlines,"Los Angeles International Airport; Los Angeles, United States",AS6885,320,Southwest,4R,2.0
1.07,Southwest Airlines,"Nashville International Airport; Nashville, United States",WN2542,73C,Southwest,4R,2.0
1.11,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN5806,717,Southwest,4R,2.0
1.13,Alitalia,"Charles de Gaulle International Airport; Paris, France",AZ6966,744,Southwest,4R,2.67
1.18,American Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AA2256,330,Southwest,4L,2.0
1.16,Iberia Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",IB1594,333,Southwest,4R,3.33
1.22,JetBlue Airways,"Princess Juliana International Airport; Philipsburg, Netherlands Antilles",B63210,320,Southwest,4R,2.0
1.29,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN5031,717,Southwest,4R,2.0
1.31,American Airlines,"Narita International Airport; Tokyo, Japan",AA8215,787,Southwest,4R,2.67
1.42,American Airlines,"Adolfo Suárez Madrid–Barajas Airport; Madrid, Spain",AA4587,330,Southwest,4R,2.0
1.44,Peninsula Airways,"Long Island Mac Arthur Airport; Islip, United States",KS591,SF3,Southwest,4R,2.67
1.49,Delta Air Lines,"John F Kennedy International Airport; New York, United States",DL9990,752,Southwest,4L,2.0
1.47,JetBlue Airways,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",B67434,320,Southwest,4R,3.33
1.51,JetBlue Airways,"Dallas Fort Worth International Airport; Dallas-Fort Worth, United States",B61647,E90,Southwest,4R,2.67
1.56,Southwest Airlines,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",WN5876,717,Southwest,4L,2.0
1.53,Alitalia,"Hartsfield Jackson Atlanta International Airport; Atlanta, United States",AZ7238,319,Southwest,4R,3.34
1.62,Delta Air Lines,"Providenciales Airport; Providenciales, Turks and Caicos Islands",DL9247,320,Southwest,4R,2.0
1.67,Alaska Airlines,"Long Island Mac Arthur Airport; Islip, United States",AS7382,SF3,Southwest,4R,2.0
1.73,JetBlue Airways,"San Diego International Airport; San Diego, United States",B67100,320,Southwest,4R,2.0
1.76,JetBlue Airways,"Luis Munoz Marin International Airport; San Juan, Puerto Rico",B63206,320,Southwest,4R,2.67
1.78,Air Canada,"Montreal / Pierre Elliott Trudeau International Airport; Montreal, Canada",AC9163,DH3,Southwest,4R,3.33
1.84,Alaska Airlines,"Long Island Mac Arthur Airport; Islip, United States",AS2181,SF3,Southwest,4R,2.0
1.87,Delta Air Lines,"Raleigh Durham International Airport; Raleigh-durham, United States",DL4859,CR9,Southwest,4R,2.67
1.91,Emirates,"Dubai International Airport; Dubai, United Arab Emirates",EK6701,77L,Southwest,4L,2.0
2.0,JetBlue Airways,"William P Hobby Airport; Houston, United States",B68029,E90,Southwest,4R,2.0
2.02,United Airlines,"Munich Airport; Munich, Germany",UA1401,333,Southwest,4R,2.67
2.16,Porter Airlines,"Billy Bishop Toronto City Centre Airport; Toronto, Canada",PD1984,DH4,Southwest,4R,2.0
2.29,JetBlue Airways,"Philadelphia International Airport; Philadelphia, United States",B66814,E90,Southwest,4R,2.0
2.33,British Airways,"London Heathrow Airport; London, United Kingdom",BA5454,333,Southwest,4R,2.0
2.42,American Airlines,"Phoenix Sky Harbor International Airport; Phoenix, United States",AA146,319,Southwest,4R,2.0
2.47,Alaska Airlines,"Los Angeles International Airport; Los Angeles, United States",AS6370,738,Southwest,4R,2.0
2.53,Spirit Airlines,"Fort Lauderdale Hollywood International Airport; Fort Lauderdale, United States",NK1144,319,Southwest,4R,2.0
2.55,TAP Portugal,"Humberto Delgado Airport (Lisbon Portela Airport); Lisbon, Portugal",TP6693,313,Southwest,4R,2.67
2.69,TAP Portugal,"Humberto Delgado Airport (Lisbon Portela Airport); Lisbon, Portugal",TP8382,313,Southwest,4R,2.0
2.71,JetBlue Airways,"Cancún International Airport; Cancun, Mexico",B68987,320,Southwest,4R,2.67
2.73,JetBlue Airways,"Lynden Pindling International Airport; Nassau, Bahamas",B63512,E90,Southwest,4R,3.33
2.84,Southwest Airlines,"Akron Canton Regional Airport; Akron, United States",WN2137,717,Southwest,4R,2.0
2.87,JetBlue Airways,"John F Kennedy International Airport; New York, United States",B63896,E90,Southwest,4R,2.67
2.91,American Airlines,"Los Angeles International Airport; Los Angeles, United States",AA7927,738,Southwest,4L,2.0
